"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"04/30/2026 12:00:00 AM","subway","54","Sheepshead Bay (B,Q)","Brooklyn","omny","OMNY - Fair Fare","1","0","40.586895","-73.954155","POINT (-73.954155 40.586895)"
"04/30/2026 12:00:00 AM","subway","91","Alabama Av (J,Z)","Brooklyn","omny","OMNY - Fair Fare","1","1","40.67699","-73.89865","POINT (-73.89865 40.67699)"
"04/30/2026 12:00:00 AM","subway","272","36 St (M,R)","Queens","omny","OMNY - Full Fare","13","0","40.75204","-73.92878","POINT (-73.92878 40.75204)"
"04/30/2026 12:00:00 AM","subway","278","Jamaica Center-Parsons/Archer (E,J,Z)","Queens","omny","OMNY - Students","5","3","40.70215","-73.80111","POINT (-73.80111 40.70215)"
"04/30/2026 12:00:00 AM","subway","360","Pelham Bay Park (6)","Bronx","omny","OMNY - Students","2","1","40.852463","-73.82812","POINT (-73.82812 40.852463)"
"04/30/2026 12:00:00 AM","subway","378","Woodlawn (4)","Bronx","omny","OMNY - Full Fare","21","3","40.886036","-73.87875","POINT (-73.87875 40.886036)"
"04/30/2026 12:00:00 AM","subway","39","Bay Ridge-95 St (R)","Brooklyn","omny","OMNY - Students","2","1","40.616623","-74.030876","POINT (-74.030876 40.616623)"
"04/30/2026 12:00:00 AM","subway","403","33 St (6)","Manhattan","omny","OMNY - Fair Fare","5","0","40.746082","-73.98208","POINT (-73.98208 40.746082)"
"04/30/2026 12:00:00 AM","subway","421","Gun Hill Rd (2,5)","Bronx","omny","OMNY - Other","2","0","40.87785","-73.86626","POINT (-73.86626 40.87785)"
"04/30/2026 12:00:00 AM","subway","6","39 Av-Dutch Kills (N,W)","Queens","omny","OMNY - Students","1","0","40.75288","-73.932755","POINT (-73.932755 40.75288)"
"04/30/2026 12:00:00 AM","subway","154","116 St (C,B)","Manhattan","omny","OMNY - Other","1","0","40.805084","-73.95488","POINT (-73.95488 40.805084)"
"04/30/2026 12:00:00 AM","subway","157","96 St (C,B)","Manhattan","omny","OMNY - Seniors & Disability","2","1","40.79164","-73.9647","POINT (-73.9647 40.79164)"
"04/30/2026 12:00:00 AM","subway","196","Aqueduct Racetrack (A)","Queens","omny","OMNY - Fair Fare","2","0","40.672096","-73.83592","POINT (-73.83592 40.672096)"
"04/30/2026 12:00:00 AM","subway","273","Queens Plaza (E,F,R)","Queens","metrocard","Metrocard - Other","1","0","40.748974","-73.93724","POINT (-73.93724 40.748974)"
"04/30/2026 12:00:00 AM","subway","309","103 St (1)","Manhattan","omny","OMNY - Fair Fare","4","0","40.799446","-73.968376","POINT (-73.968376 40.799446)"
"04/30/2026 12:00:00 AM","subway","352","New Lots Av (3)","Brooklyn","omny","OMNY - Full Fare","8","0","40.666237","-73.88408","POINT (-73.88408 40.666237)"
"04/30/2026 12:00:00 AM","subway","384","Burnside Av (4)","Bronx","metrocard","Metrocard - Other","1","0","40.853455","-73.907684","POINT (-73.907684 40.853455)"
"04/30/2026 12:00:00 AM","subway","444","Gun Hill Rd (5)","Bronx","omny","OMNY - Full Fare","4","0","40.869526","-73.84638","POINT (-73.84638 40.869526)"
"04/30/2026 12:00:00 AM","subway","58","Coney Island-Stillwell Av (D,F,N,Q)","Brooklyn","omny","OMNY - Full Fare","35","1","40.577423","-73.98123","POINT (-73.98123 40.577423)"
"04/30/2026 12:00:00 AM","subway","606","Court Sq-23 St (7,E,F,G)","Queens","omny","OMNY - Fair Fare","6","1","40.747143","-73.94503","POINT (-73.94503 40.747143)"
"04/30/2026 12:00:00 AM","subway","87","Crescent St (J,Z)","Brooklyn","omny","OMNY - Students","2","0","40.683193","-73.87379","POINT (-73.87379 40.683193)"
"04/30/2026 12:00:00 AM","subway","114","Central Av (M)","Brooklyn","omny","OMNY - Full Fare","9","0","40.697857","-73.9274","POINT (-73.9274 40.697857)"
"04/30/2026 12:00:00 AM","subway","126","Jefferson St (L)","Brooklyn","omny","OMNY - Full Fare","73","0","40.706608","-73.92291","POINT (-73.92291 40.706608)"
"04/30/2026 12:00:00 AM","subway","231","Grand St (B,D)","Manhattan","omny","OMNY - Seniors & Disability","3","0","40.718266","-73.99375","POINT (-73.99375 40.718266)"
"04/30/2026 12:00:00 AM","subway","238","Smith-9 Sts (F,G)","Brooklyn","omny","OMNY - Other","1","0","40.67358","-73.99596","POINT (-73.99596 40.67358)"
"04/30/2026 12:00:00 AM","subway","288","Myrtle-Willoughby Avs (G)","Brooklyn","omny","OMNY - Fair Fare","1","0","40.69457","-73.94904","POINT (-73.94904 40.69457)"
"04/30/2026 12:00:00 AM","subway","612","Lexington Av/51-53 Sts (6,E,F)","Manhattan","omny","OMNY - Full Fare","436","0","40.757328","-73.97049","POINT (-73.97049 40.757328)"
"04/30/2026 12:00:00 AM","subway","614","59 St-Columbus Circle (1,A,C,B,D)","Manhattan","omny","OMNY - Other","17","0","40.768272","-73.981834","POINT (-73.981834 40.768272)"
"04/30/2026 12:00:00 AM","subway","626","Franklin Av-Medgar Evers College/Botanic Garden (2,3,4,5,S)","Brooklyn","omny","OMNY - Fair Fare","2","0","40.670513","-73.95869","POINT (-73.95869 40.670513)"
"04/30/2026 12:00:00 AM","subway","78","Avenue U (N)","Brooklyn","omny","OMNY - Full Fare","12","4","40.597473","-73.97913","POINT (-73.97913 40.597473)"
"04/30/2026 12:00:00 AM","subway","83","Woodhaven Blvd (J,Z)","Queens","omny","OMNY - Students","1","0","40.69388","-73.85158","POINT (-73.85158 40.69388)"
"04/30/2026 12:00:00 AM","subway","231","Grand St (B,D)","Manhattan","omny","OMNY - Full Fare","104","1","40.718266","-73.99375","POINT (-73.99375 40.718266)"
"04/30/2026 12:00:00 AM","subway","258","Briarwood (E,F)","Queens","omny","OMNY - Full Fare","8","1","40.70918","-73.82057","POINT (-73.82057 40.70918)"
"04/30/2026 12:00:00 AM","subway","313","72 St (1,2,3)","Manhattan","omny","OMNY - Seniors & Disability","8","1","40.778454","-73.98197","POINT (-73.98197 40.778454)"
"04/30/2026 12:00:00 AM","subway","393","116 St (6)","Manhattan","omny","OMNY - Full Fare","23","0","40.79863","-73.94162","POINT (-73.94162 40.79863)"
"04/30/2026 12:00:00 AM","subway","447","Flushing-Main St (7)","Queens","omny","OMNY - Seniors & Disability","3","2","40.7596","-73.83003","POINT (-73.83003 40.7596)"
"04/30/2026 12:00:00 AM","subway","606","Court Sq-23 St (7,E,F,G)","Queens","metrocard","Metrocard - Other","2","0","40.747143","-73.94503","POINT (-73.94503 40.747143)"
"04/30/2026 12:00:00 AM","subway","619","Broadway-Lafayette St/Bleecker St (6,B,D,F,M)","Manhattan","omny","OMNY - Seniors & Disability","1","0","40.725605","-73.99543","POINT (-73.99543 40.725605)"
"04/30/2026 12:00:00 AM","subway","72","Fort Hamilton Pkwy (N)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.631386","-74.00535","POINT (-74.00535 40.631386)"
"04/30/2026 12:00:00 AM","subway","97","Myrtle Av (M,J,Z)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","1","0","40.69721","-73.93565","POINT (-73.93565 40.69721)"
"04/30/2026 12:00:00 AM","subway","165","23 St (C,E)","Manhattan","omny","OMNY - Students","4","0","40.745907","-73.99804","POINT (-73.99804 40.745907)"
"04/30/2026 12:00:00 AM","subway","243","Church Av (F,G)","Brooklyn","omny","OMNY - Students","1","0","40.64404","-73.979675","POINT (-73.979675 40.64404)"
"04/30/2026 12:00:00 AM","subway","270","46 St (M,R)","Queens","omny","OMNY - Students","2","0","40.756313","-73.91333","POINT (-73.91333 40.756313)"
"04/30/2026 12:00:00 AM","subway","355","Winthrop St (2,5)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.65665","-73.9502","POINT (-73.9502 40.65665)"
"04/30/2026 12:00:00 AM","subway","433","Jackson Av (2,5)","Bronx","omny","OMNY - Other","3","0","40.81649","-73.90781","POINT (-73.90781 40.81649)"
"04/30/2026 12:00:00 AM","subway","612","Lexington Av/51-53 Sts (6,E,F)","Manhattan","omny","OMNY - Other","6","0","40.757328","-73.97049","POINT (-73.97049 40.757328)"
"04/30/2026 12:00:00 AM","subway","136","New Lots Av (L)","Brooklyn","omny","OMNY - Students","3","0","40.658733","-73.89923","POINT (-73.89923 40.658733)"
"04/30/2026 12:00:00 AM","subway","259","Kew Gardens-Union Tpke (E,F)","Queens","omny","OMNY - Fair Fare","3","3","40.71444","-73.83101","POINT (-73.83101 40.71444)"
"04/30/2026 12:00:00 AM","subway","271","Steinway St (M,R)","Queens","omny","OMNY - Full Fare","47","2","40.756878","-73.92074","POINT (-73.92074 40.756878)"
"04/30/2026 12:00:00 AM","subway","282","21 St (G)","Queens","omny","OMNY - Full Fare","8","0","40.744064","-73.94972","POINT (-73.94972 40.744064)"
"04/30/2026 12:00:00 AM","subway","318","34 St-Penn Station (1,2,3)","Manhattan","omny","OMNY - Fair Fare","28","0","40.750374","-73.99106","POINT (-73.99106 40.750374)"
"04/30/2026 12:00:00 AM","subway","344","Kingston Av (3)","Brooklyn","omny","OMNY - Full Fare","5","0","40.6694","-73.94216","POINT (-73.94216 40.6694)"
"04/30/2026 12:00:00 AM","subway","143","Inwood-207 St (A)","Manhattan","metrocard","Metrocard - Other","9","0","40.868073","-73.9199","POINT (-73.9199 40.868073)"
"04/30/2026 12:00:00 AM","subway","209","Far Rockaway-Mott Av (A)","Queens","omny","OMNY - Other","6","0","40.603996","-73.7554","POINT (-73.7554 40.603996)"
"04/30/2026 12:00:00 AM","subway","276","5 Av/53 St (E,F)","Manhattan","omny","OMNY - Students","2","0","40.760166","-73.97523","POINT (-73.97523 40.760166)"
"04/30/2026 12:00:00 AM","subway","425","Bronx Park East (2,5)","Bronx","omny","OMNY - Other","1","0","40.848827","-73.868454","POINT (-73.868454 40.848827)"
"04/30/2026 12:00:00 AM","subway","427","West Farms Sq-E Tremont Av (2,5)","Bronx","omny","OMNY - Fair Fare","1","1","40.840294","-73.88005","POINT (-73.88005 40.840294)"
"04/30/2026 12:00:00 AM","subway","54","Sheepshead Bay (B,Q)","Brooklyn","omny","OMNY - Full Fare","21","1","40.586895","-73.954155","POINT (-73.954155 40.586895)"
"04/30/2026 12:00:00 AM","subway","319","28 St (1)","Manhattan","omny","OMNY - Seniors & Disability","2","0","40.747215","-73.99336","POINT (-73.99336 40.747215)"
"04/30/2026 12:00:00 AM","subway","366","Parkchester (6)","Bronx","omny","OMNY - Seniors & Disability","1","0","40.833225","-73.86082","POINT (-73.86082 40.833225)"
"04/30/2026 12:00:00 AM","subway","450","103 St-Corona Plaza (7)","Queens","omny","OMNY - Other","1","0","40.749866","-73.8627","POINT (-73.8627 40.749866)"
